N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,700",500,-0.70%,100,"4,220,636","5,969,783",51.79,"14,241,145",12.24,13.92,
2,SK하이닉스,"124,000",0,0.00%,"5,000","902,723","728,002",50.62,"4,451,010",9.40,16.84,
3,LG에너지솔루션,"382,000","6,000",+1.60%,500,"893,880","234,000",2.90,"640,168",96.39,10.68,
4,NAVER,"344,500",0,0.00%,100,"565,149","164,049",54.70,"709,139",3.43,106.72,
5,삼성바이오로직스,"828,000","13,000",+1.60%,"2,500","547,846","66,165",10.55,"51,085",140.86,8.21,
6,삼성전자우,"64,100",400,-0.62%,100,"527,470","822,887",74.05,"1,333,684",11.10,N/A,
7,카카오,"108,500","2,000",+1.88%,100,"484,043","446,123",28.65,"2,961,679",42.72,2.70,
8,현대차,"171,000","2,500",+1.48%,"5,000","365,373","213,668",26.30,"756,633",9.58,6.84,
9,삼성SDI,"504,000","4,000",-0.79%,"5,000","346,573","68,765",43.32,"336,345",30.32,8.45,
10,LG화학,"488,500","18,500",+3.94%,"5,000","344,844","70,592",48.19,"552,456",10.42,18.47,
11,기아,"72,000",400,-0.55%,"5,000","291,862","405,363",34.66,"1,358,587",6.13,14.69,
12,셀트리온,"186,500","1,000",+0.54%,"1,000","257,287","137,956",20.26,"472,836",45.59,15.81,
13,카카오뱅크,"52,800",700,+1.34%,"5,000","250,884","475,159",16.34,"826,090",113.06,4.91,
14,POSCO홀딩스,"287,000","3,500",+1.23%,"5,000","250,226","87,187",53.09,"376,733",3.78,13.97,
15,KB금융,"57,500",400,-0.69%,"5,000","237,103","412,352",72.39,"1,877,860",5.50,8.53,
16,삼성물산,"115,500",0,0.00%,100,"215,855","186,887",15.91,"343,833",13.32,5.40,
17,LG전자,"123,500","2,500",-1.98%,"5,000","202,105","163,648",28.53,"936,181",21.65,6.32,
18,현대모비스,"210,500",500,+0.24%,"5,000","199,076","94,573",34.27,"330,059",8.48,6.87,
19,신한지주,"38,200",100,-0.26%,"5,000","197,341","516,600",62.09,"1,569,389",5.07,8.20,
20,카카오페이,"145,500","3,000",+2.11%,500,"192,306","132,169",42.52,"206,880",-723.88,-17.97,
21,SK이노베이션,"199,500","1,500",-0.75%,"5,000","184,469","92,466",23.19,"328,807",61.38,1.91,
22,SK,"238,500","3,000",+1.27%,200,"176,846","74,149",21.56,"202,903",8.62,10.19,
23,HMM,"33,950","1,400",+4.30%,"5,000","166,029","489,039",12.02,"10,540,496",2.47,88.62,
24,한국전력,"24,000",250,-1.03%,"5,000","154,071","641,964",14.97,"2,281,314",-2.90,-7.99,
25,하나금융지주,"47,750",50,-0.10%,"5,000","143,366","300,242",70.96,"1,721,950",4.07,10.86,
26,크래프톤,"286,000","2,000",+0.70%,100,"140,346","49,072",29.47,"286,359",25.00,17.86,
27,두산중공업,"22,400",200,-0.88%,"5,000","135,549","605,128",8.53,"6,012,021",67.47,-37.20,
28,LG생활건강,"838,000","25,000",-2.90%,"5,000","130,880","15,618",41.19,"93,539",17.58,16.65,
29,SK텔레콤,"58,100",900,+1.57%,100,"127,142","218,833",45.65,"832,165",8.49,13.63,
30,삼성생명,"62,600",300,+0.48%,500,"125,200","200,000",12.70,"319,439",8.52,4.01,
31,삼성전기,"161,000","1,000",+0.63%,"5,000","120,257","74,694",29.26,"471,606",14.00,14.29,
32,LG,"75,300","1,500",+2.03%,"5,000","118,448","157,301",36.39,"386,557",4.97,7.50,
33,하이브,"285,500","5,500",+1.96%,500,"118,064","41,353",15.17,"210,594",79.17,6.83,
34,SK바이오사이언스,"148,000","10,000",+7.25%,500,"113,220","76,500",5.21,"1,303,618",56.99,13.25,
35,KT&G,"81,500",300,+0.37%,"5,000","111,893","137,292",37.00,"348,020",9.40,13.22,
36,삼성에스디에스,"141,500","2,000",+1.43%,500,"109,490","77,378",11.42,"134,272",17.91,8.80,
37,우리금융지주,"14,800",150,+1.02%,"5,000","107,753","728,061",34.54,"6,404,969",4.53,5.87,
38,고려아연,"569,000","3,000",-0.52%,"5,000","107,370","18,870",19.43,"53,231",13.31,11.07,
39,대한항공,"30,450",100,+0.33%,"5,000","105,911","347,821",12.53,"2,020,144",15.98,11.60,
40,엔씨소프트,"467,000",0,0.00%,500,"102,525","21,954",42.74,"129,658",28.83,20.83,
41,현대중공업,"108,500",500,+0.46%,"5,000","96,319","88,773",3.11,"858,908",-10.17,-14.87,
42,S-Oil,"85,400",500,+0.59%,"2,500","96,146","112,583",78.27,"257,325",7.22,21.76,
43,넷마블,"110,000","1,000",+0.92%,100,"94,549","85,954",22.90,"136,531",40.68,6.35,
44,LG이노텍,"382,000","12,000",+3.24%,"5,000","90,408","23,667",24.11,"472,235",10.18,30.94,
45,삼성화재,"188,000","3,500",+1.90%,500,"89,065","47,375",48.32,"184,105",8.47,7.09,
46,아모레퍼시픽,"151,000","3,000",-1.95%,500,"88,324","58,493",28.50,"602,843",53.81,4.20,
47,KT,"32,900",350,+1.08%,"5,000","85,906","261,112",40.08,"648,629",6.33,9.36,
48,SK아이이테크놀로지,"116,000","1,000",+0.87%,"1,000","82,705","71,298",9.52,"287,487",83.27,5.57,
49,포스코케미칼,"105,500","1,000",-0.94%,500,"81,724","77,463",6.10,"333,106",59.84,7.92,
50,기업은행,"10,600",0,0.00%,"5,000","78,896","744,301",14.10,"2,012,080",3.50,9.21,
51,SK스퀘어,"53,500",900,+1.71%,100,"75,685","141,468",39.01,"2,764,520",3.32,N/A,
52,SK바이오팜,"91,900",100,-0.11%,500,"71,970","78,313",6.11,"199,927",110.99,15.75,
